product_id,view,cart,purchase,category_code,log_view,log_cart,log_purchase
1003039,14,0,0,electronics.smartphone,2.70805020110221,0.0,0.0
1003048,1,0,0,electronics.smartphone,0.6931471805599453,0.0,0.0
1003050,16,0,0,electronics.smartphone,2.833213344056216,0.0,0.0
1003051,2,0,0,electronics.smartphone,1.0986122886681098,0.0,0.0
1003073,11,0,0,electronics.smartphone,2.4849066497880004,0.0,0.0
1003074,9,0,0,electronics.smartphone,2.302585092994046,0.0,0.0
1003078,9,0,0,electronics.smartphone,2.302585092994046,0.0,0.0
1003096,17,0,1,electronics.smartphone,2.8903717578961645,0.0,0.6931471805599453
1003102,2,0,0,electronics.smartphone,1.0986122886681098,0.0,0.0
1003105,2,0,0,electronics.smartphone,1.0986122886681098,0.0,0.0
1003112,5,0,0,electronics.smartphone,1.791759469228055,0.0,0.0
1003114,16,0,0,electronics.smartphone,2.833213344056216,0.0,0.0
1003129,16,0,0,electronics.smartphone,2.833213344056216,0.0,0.0
1003141,48,0,0,electronics.smartphone,3.8918202981106265,0.0,0.0
1003142,2,0,0,electronics.smartphone,1.0986122886681098,0.0,0.0
1003153,27,0,0,electronics.smartphone,3.332204510175204,0.0,0.0
1003158,1,0,0,electronics.smartphone,0.6931471805599453,0.0,0.0
1003168,2,0,0,electronics.smartphone,1.0986122886681098,0.0,0.0
1003176,28,0,0,electronics.smartphone,3.367295829986474,0.0,0.0
1003177,4,0,0,electronics.smartphone,1.6094379124341003,0.0,0.0
1003181,1,0,0,electronics.smartphone,0.6931471805599453,0.0,0.0
1003183,22,0,0,electronics.smartphone,3.1354942159291497,0.0,0.0
1003184,2,0,0,electronics.smartphone,1.0986122886681098,0.0,0.0
1003195,28,0,0,electronics.smartphone,3.367295829986474,0.0,0.0
1003208,85,0,1,electronics.smartphone,4.454347296253507,0.0,0.6931471805599453
1003209,19,0,0,electronics.smartphone,2.995732273553991,0.0,0.0
1003221,8,0,0,electronics.smartphone,2.1972245773362196,0.0,0.0
1003222,7,0,0,electronics.smartphone,2.0794415416798357,0.0,0.0
1003225,1,0,0,electronics.smartphone,0.6931471805599453,0.0,0.0
1003230,11,0,0,electronics.smartphone,2.4849066497880004,0.0,0.0
1003231,1,0,0,electronics.smartphone,0.6931471805599453,0.0,0.0
1003234,16,0,0,electronics.smartphone,2.833213344056216,0.0,0.0
1003235,3,0,0,electronics.smartphone,1.3862943611198906,0.0,0.0
1003237,1,0,0,electronics.smartphone,0.6931471805599453,0.0,0.0
1003249,1,0,0,electronics.smartphone,0.6931471805599453,0.0,0.0
1003274,1,0,0,electronics.smartphone,0.6931471805599453,0.0,0.0
1003281,117,0,1,electronics.smartphone,4.770684624465665,0.0,0.6931471805599453
1003285,144,0,0,electronics.smartphone,4.976733742420574,0.0,0.0
1003293,33,0,0,electronics.smartphone,3.5263605246161616,0.0,0.0
1003298,6,0,0,electronics.smartphone,1.9459101490553132,0.0,0.0
1003304,485,39,12,electronics.smartphone,6.186208623900494,3.6888794541139363,2.5649493574615367
1003305,143,2,5,electronics.smartphone,4.969813299576001,1.0986122886681098,1.791759469228055
1003306,1231,91,57,electronics.smartphone,7.116394144093465,4.5217885770490405,4.060443010546419
1003307,73,3,0,electronics.smartphone,4.30406509320417,1.3862943611198906,0.0
1003308,28,0,0,electronics.smartphone,3.367295829986474,0.0,0.0
1003309,21,0,0,electronics.smartphone,3.091042453358316,0.0,0.0
1003310,610,27,12,electronics.smartphone,6.415096959171596,3.332204510175204,2.5649493574615367
1003311,187,4,3,electronics.smartphone,5.236441962829949,1.6094379124341003,1.3862943611198906
1003312,438,19,19,electronics.smartphone,6.0844994130751715,2.995732273553991,2.995732273553991
1003313,53,0,1,electronics.smartphone,3.9889840465642745,0.0,0.6931471805599453
1003314,35,0,0,electronics.smartphone,3.58351893845611,0.0,0.0
1003315,58,1,0,electronics.smartphone,4.07753744390572,0.6931471805599453,0.0
1003316,509,30,19,electronics.smartphone,6.234410725718371,3.4339872044851463,2.995732273553991
1003317,1142,51,37,electronics.smartphone,7.04141166379481,3.9512437185814275,3.6375861597263857
1003318,137,3,1,electronics.smartphone,4.927253685157205,1.3862943611198906,0.6931471805599453
1003319,100,3,0,electronics.smartphone,4.61512051684126,1.3862943611198906,0.0
1003328,28,0,0,electronics.smartphone,3.367295829986474,0.0,0.0
1003338,16,0,0,electronics.smartphone,2.833213344056216,0.0,0.0
1003339,18,0,0,electronics.smartphone,2.9444389791664403,0.0,0.0
1003341,1,0,0,electronics.smartphone,0.6931471805599453,0.0,0.0
1003347,30,0,0,electronics.smartphone,3.4339872044851463,0.0,0.0
1003363,98,0,2,electronics.smartphone,4.59511985013459,0.0,1.0986122886681098
1003371,37,0,0,electronics.smartphone,3.6375861597263857,0.0,0.0
1003374,4,0,0,electronics.smartphone,1.6094379124341003,0.0,0.0
1003391,12,0,0,electronics.smartphone,2.5649493574615367,0.0,0.0
1003393,1,0,0,electronics.smartphone,0.6931471805599453,0.0,0.0
1003415,2,0,0,electronics.smartphone,1.0986122886681098,0.0,0.0
1003416,36,0,1,electronics.smartphone,3.6109179126442243,0.0,0.6931471805599453
1003418,1,0,0,electronics.smartphone,0.6931471805599453,0.0,0.0
1003425,1,0,0,electronics.smartphone,0.6931471805599453,0.0,0.0
1003428,53,0,0,electronics.smartphone,3.9889840465642745,0.0,0.0
1003435,4,0,0,electronics.smartphone,1.6094379124341003,0.0,0.0
1003439,4,0,0,electronics.smartphone,1.6094379124341003,0.0,0.0
1003441,32,0,2,electronics.smartphone,3.4965075614664802,0.0,1.0986122886681098
1003442,1,0,0,electronics.smartphone,0.6931471805599453,0.0,0.0
1003447,16,0,0,electronics.smartphone,2.833213344056216,0.0,0.0
1003461,39,0,0,electronics.smartphone,3.6888794541139363,0.0,0.0
1003475,73,0,0,electronics.smartphone,4.30406509320417,0.0,0.0
1003484,18,0,0,electronics.smartphone,2.9444389791664403,0.0,0.0
1003499,26,0,1,electronics.smartphone,3.295836866004329,0.0,0.6931471805599453
1003503,3,0,0,electronics.smartphone,1.3862943611198906,0.0,0.0
1003507,5,0,1,electronics.smartphone,1.791759469228055,0.0,0.6931471805599453
1003509,6,0,0,electronics.smartphone,1.9459101490553132,0.0,0.0
1003523,16,0,0,electronics.smartphone,2.833213344056216,0.0,0.0
1003524,22,0,0,electronics.smartphone,3.1354942159291497,0.0,0.0
1003525,129,0,1,electronics.smartphone,4.867534450455582,0.0,0.6931471805599453
1003527,51,0,0,electronics.smartphone,3.9512437185814275,0.0,0.0
1003532,18,0,0,electronics.smartphone,2.9444389791664403,0.0,0.0
1003533,48,0,0,electronics.smartphone,3.8918202981106265,0.0,0.0
1003534,34,0,0,electronics.smartphone,3.5553480614894135,0.0,0.0
1003535,180,0,2,electronics.smartphone,5.198497031265826,0.0,1.0986122886681098
1003546,1,0,0,electronics.smartphone,0.6931471805599453,0.0,0.0
1003548,20,0,2,electronics.smartphone,3.044522437723423,0.0,1.0986122886681098
1003549,378,0,4,electronics.smartphone,5.937536205082426,0.0,1.6094379124341003
1003551,18,0,0,electronics.smartphone,2.9444389791664403,0.0,0.0
1003566,23,0,0,electronics.smartphone,3.1780538303479458,0.0,0.0
1003571,76,0,0,electronics.smartphone,4.343805421853684,0.0,0.0
1003572,1,0,0,electronics.smartphone,0.6931471805599453,0.0,0.0
1003583,1,0,0,electronics.smartphone,0.6931471805599453,0.0,0.0
1003592,21,0,0,electronics.smartphone,3.091042453358316,0.0,0.0
1003599,47,0,0,electronics.smartphone,3.871201010907891,0.0,0.0
1003609,15,0,0,electronics.smartphone,2.772588722239781,0.0,0.0
1003611,7,0,0,electronics.smartphone,2.0794415416798357,0.0,0.0
1003612,1,0,0,electronics.smartphone,0.6931471805599453,0.0,0.0
1003613,22,0,0,electronics.smartphone,3.1354942159291497,0.0,0.0
1003614,38,0,0,electronics.smartphone,3.6635616461296463,0.0,0.0
1003622,5,0,0,electronics.smartphone,1.791759469228055,0.0,0.0
1003632,1,0,0,electronics.smartphone,0.6931471805599453,0.0,0.0
1003636,37,0,0,electronics.smartphone,3.6375861597263857,0.0,0.0
1003645,7,0,0,electronics.smartphone,2.0794415416798357,0.0,0.0
1003652,28,0,0,electronics.smartphone,3.367295829986474,0.0,0.0
1003656,30,0,0,electronics.smartphone,3.4339872044851463,0.0,0.0
1003665,28,0,0,electronics.smartphone,3.367295829986474,0.0,0.0
1003673,5,0,0,electronics.smartphone,1.791759469228055,0.0,0.0
1003705,79,0,0,electronics.smartphone,4.382026634673881,0.0,0.0
1003706,30,0,1,electronics.smartphone,3.4339872044851463,0.0,0.6931471805599453
1003707,42,0,0,electronics.smartphone,3.7612001156935624,0.0,0.0
1003709,202,0,2,electronics.smartphone,5.313205979041787,0.0,1.0986122886681098
1003710,1,0,0,electronics.smartphone,0.6931471805599453,0.0,0.0
1003711,29,0,0,electronics.smartphone,3.4011973816621555,0.0,0.0
1003712,135,1,3,electronics.smartphone,4.912654885736052,0.6931471805599453,1.3862943611198906
1003713,32,0,0,electronics.smartphone,3.4965075614664802,0.0,0.0
1003714,24,0,0,electronics.smartphone,3.2188758248682006,0.0,0.0
